Lindsey Craft
Erica Larsen
Ryan Levine
Erika Smith
Brooklyn Sloan
Karen Mayer
Eddie O'neill
Nancy Stevens
Chasity Conway
Aaron McCray
Kendra Allen
Jenna Burns
Jane Mayo
George Suarez
Janet Abbott
Steven Marshall
Shane Heath
Unborn Vega
Kaitlyn Wilder
Donald Morgan
Alisha Dunn
Marty Franco
Sam Jackson
Jeffrey Suarez
Thomas Dotson
Mickey Cruz
Chuck Castillo
Sierra Schneider
Michael Gross
Richard Wheeler
Margaret Kane
Hope Compton
Helen Richmond
Myron Hayes
Laura Richardson
Patrick Walker
Kaylee Austin
Timmy Green
Terry Roberson
Donnie Nunez
Rick O'neal
Dave Chang
Carrie McDowell
Brenda Flynn
Kaitlyn Kerr
Sandra Love
Donna Navarro
Vernon Lloyd
Greg Hahn
Brad Mays
Greg Melton
Ernest Daniel
Whitney Davenport
Wendy Carson
Juanita Short
Louis Guthrie
Barb Maddox
Chelsea Hurst
Katrina Sherman
Kelly Morse
Nancy Merritt
Marion Cash
Brent Richards
Cassandra Lindsay
Ray Bates
Christina McMillan
Candy Walton
Joanne Copeland
Skyler Murray
Charlotte Nolan
Ruth Kinney
Craig Avila
Billy Middleton
Dixie Avery
Erika Andrews
Brett Camacho
Frank Leonard
Justin Henry
Juanita Clements
Rob Ruiz
Jean Pugh
Gina Lyons
Lewis Holman
Justin Watson
Ronda Hopper
Lance Cooley
Tamara Perez
Daniel Stanton
Ann Shaffer
Curtis Hutchinson
Rachel Melton
Brittany Sweeney
Nicole Ballard
Kaylee Wall
Brad Gaines
Matt Kerr
Kelly Fuller
Christina Rosa
Sue Ferrell
Andy May
Charlie Davis
Paula Dunlap
Alexandra Vinson
Shane Hess
Jacob Hunt
Paige Atkins
Holly Sykes
Mitchell Roman
Rod Acosta
Alisha Malone
Lindsay Richardson
Randy Warner
Bobby Wallace
Pete Reeves
Barb Preston
Deborah Eaton
Marty Dominguez
Jessie Salinas
Erika Collins
Larry Collins
Bob Meyer
Sam Fulton
Brady Carey
Sherry Owen
Sher Nelson
Trey Gamble
Steve Obrien
Skyler Hawkins
Shaun Espinoza
Paige Leonard
Helen Mills
Tammy Schwartz
Cathy Alford
Don Wells
Joshua Hall
Everett Dillard
Marcus Little
Christian Camacho
Danielle Fry
Brooke Owens
Logan Hopper
Sher Cooke
Lance Peters
Sally Curtis
Jan Anderson
Katherine Lee
Albert Mosley
Hunter Sykes
Tina Chang
Shawn Cardenas
Roger Melendez
Charlotte Stewart
Barb Faulkner
Teresa Spence
Leroy Warren
Miranda Hale
Kristin Cash
Glenn Navarro
Tonya Wynn
Jonathon Schmidt
Leroy Pena
Jacob Thornton
Connie Decker
Donna Fields
Max Benton
Cory Robinson
Charlie Woodward
Nancy Lawrence
Regina Foley
Sherry Underwood
Gabriel Molina
Bethany Reyes
Chelsea Beach
Mary Miles
Joann Luna
Arthur Charles
Shawn Frye
Margaret Bernard
Shelly McDowell
Glenn Mendez
Alex Higgins
Brandon Zimmerman
Eric Vazquez
Lawrence Williamson
Steve McPherson
Brandon Haley
Maria Stanton
Joshua Fitzgerald
Tara Savage
Wayne Cochran
Lindsey Stein
Dakota Horn
Danielle Meadows
Rick McIntyre
Lee Delaney
Sue Bradshaw
Alyssa Richmond
Ryan Durham
Julie Duran
Tonya Cain
Clara Shannon
Seth Moss
Paige Wall
Don Mitchell
Myron O'neil
Vincent Hendricks
Sarah Stevens
Sheila Sosa
Sue Marquez
Paula Stanley
Tyrone Haley
Wayne Moses
Rose Fox
Sue Bright
Rebecca Pierce
Dixie Weeks
Kristen Gamble
Alexandra Kennedy
Elaine Greer
Rita Hansen
Lori Crawford
Kelly Hines
Shawn Holland
Allison Guzman
Alice Rice
Jonathon Marsh
Antonio Bridges
Blake Greer
Kimberly Hood
Joseph Flynn
Jean Workman
Dalton Walter
Lindsay Hutchinson
Marcus Landry
Sarah Marks
Kristy Sloan
Pamela Waller
Patricia Thomas
Jean Nelson
Olivia Baxter
Christopher Payne
Tabitha Dillard
Randy Yates
Tia Sims
Paige Wheeler
Sue Dorsey
Jared Sears
Janet Yang
Alisha Conway
Stephen Atkinson
Tristan Ortiz
Ellen Griffin
Joseph Stark
Ted Hood
Pat Burton
Mary English
Levi Fields
Karen Roy
Dillon Sweet
Brad Hood
Olivia Hutchinson
Kelly Adams
Marcus Tanner
Andrea Valencia
Seth Chen
Larry Berry
Jessica Walls
Mitchell Hines
Rita Sellers
Vanessa Tran
Dixie Alexander
Everett Leblanc
Kevin Owen
Stacy Herrera
Jessica Romero
Myron Miranda
Loretta Hines
Rob Cote
Joel Martinez
Stacey Sanford
Brian Wallace
Darla Best
Angel Guy
Katrina Love
Joey Chavez
Cynthia Lynch
Glen Barnett
Brooke Cook
Hannah Snyder
Gina Hart
Charles Wilkinson
Robbie Grimes
Amy Reese
Bryan Macdonald
Mary Schultz
Kathleen Fox
Sher Glenn
Glenn Patrick
Carol Peters
Brianna Woods
Jake Carver
Debra Albert
Chuck Rivas
Janet Porter
Lee Holcomb
Ronald Church
Dylan James
Dan Whitaker
Darla Crawford
Steven Joyce
Jill Mercer
Leah Acevedo
Bonnie Douglas
Dennis Farley
Christian Walker
Francis Cannon
Edward Underwood
Eva Gibson
Caleb Powers
Bill West
Austin Prince
Clifford Brennan
Billy Jarvis
Angie Chandler
Dillon Hartman
Trevor Lindsey
Ted Kennedy
Catherine Lott
Sharon Chan
Vivian Munoz
Dave Rogers
Alexis Colon
Brandy Hensley
Randi Willis
Pat Shields
Savannah Sheppard
Kyle Guthrie
Shawna Gilmore
Colton Simpson
Leah Cochran
Bruce Hunt
Frank McKnight
Kaitlyn Becker
Chase Winters
Katrina Carter
Clara Frazier
Kelly Stafford
Ron Perkins
Tasha McBride
Deanna Sanford
Carolyn Casey
Terri Chambers
Vicky Morales
Madison Cobb
Charlotte Baker
Brooklyn Wolf
Dawn Ray
Dustin Terry
Johnny Buckley
Alisha Sloan
Skyler Davidson
Lee Henry
Jeremiah Cardenas
Dalton Moss
Jay Allen
Kenneth Kirkland
Donna Carroll
Pat Sullivan
Betty Sharpe
Jonathan Terrell
Joseph Collins
Maria Bray
Casey Hurst
Tia Witt
Megan Thompson
Dean Clarke
Dennis Nixon
Jacob Todd
Peggy Newman
William Chan
Tracey Guzman
Kristy Dillard
Benjamin Fletcher
Steve Reed
Lawrence Austin
Sandra Castillo
Earl Schneider
Matt Glover
Mitchell Roman
Abby Hahn
Brandon Salinas
Ian Bird
Max Wallace
Joann Mercado
Melinda Hopper
Pamela Ellison
Brenda Joyce
Phyllis Moody
Donna Mullen
Thomas Reid
Chasity Russo
Lisa Dominguez
Lois Joyner
Norman Reed
Heidi Fulton
Allen Franks
Tonya West
Jamie Riddle
Tracy Montgomery
Roberta Sears
Haley Witt
Sydney Castaneda
Jodi Weiss
Shawna Miller
Ashley Drake
Anthony Rutledge
Jonathan Rice
Gene Vang
Austin Swanson
Dylan Henderson
Taylor Hunter
Shawna Perkins
Rachel Merritt
Dallas Rhodes
Drew Le
Loretta Rich
Vanessa Tyson
Stanley Jenkins
Jessica Reilly
Shanna Mendez
Wyatt Warren
Jerry Kirkland
Maria Carlson
Sierra McGuire
Ruth Reilly
Tonya Hurley
Brooklyn Flores
Lois Bolton
Kim Maxwell
Corey Taylor
Glen Leblanc
Lloyd Sawyer
Molly Sparks
Sierra Alvarado
Thelma Conner
Dean Randolph
Albert Jensen
Eva Wilder
Jeremiah Levy
Stephen Howard
Debbie Leonard
Mindy Ortiz
April Gonzales
Albert Pollard
Harry Morrison
Harold Clay
Jeremy Walsh
Anthony Cohen
Misty Hardy
Sandra Ramsey
Diane Sutton
Kristy Gardner
Jeff Mitchell
Sean Jacobs
Antonio Caldwell
Mark Stark
Devin Preston
Virginia Wynn
Ginger Houston
Cynthia Lamb
Sarah Lambert
Bobbie Tate
Jake Russo
Nicole Hancock
Jay Dyer
Clara Bonner
Helen Bennett
Harry Rojas
Krista Neal
Pamela Kaufman
Andy Sloan
Melinda McFadden
Miranda Chavez
Shannon Pollard
Rachel Garrett
Leah Cooke
Autumn Ward
Rod Glenn
Tommy Newman
Frank Harding
Lawrence Bender
Howard Curtis
Stephanie Hodges
Cindy Brown
Kristen Hoffman
Doris McCoy
Sharon Bender
Bonnie Chen
Leah Warren
Veronica Kinney
Brenda McKenzie
Pam Skinner
Lawrence Raymond
James Boyer
Brooklyn Obrien
Dawn Harper
Adam Durham
Kristin Patton
Savannah Valentine
Morgan Adams
Elizabeth Hobbs
Ginger Moon
Jade Sutton
Glenn Aguirre
Harold Hays
Dan Gould
Erika Hughes
Tom Tyson
Gina Franklin
Raymond Pickett
Bonnie Castillo
Angela Spencer
Melody Fuentes
Marty Nguyen
Kyle Shelton
Keith Keller
Joanne Cross
Jasmine Salazar
Judy Miranda
Alisha Sawyer
Kristina Horn
Jonathan George
Allen Santana
Matthew Winters
Kristina Parrish
Diane Stanley
Mindy Green
Chelsea Knight
Gregory Dunn
Christy Lewis
Ray Wooten
Kyle Nicholson
Vivian Hanson
Anita Parrish
Mother Hall
Jennifer Stanton
Nicole Velasquez
Linda Dunlap
Kay Bowers
Stephanie Matthews
Rob Bullock
Pam Bernard
Helen Moody
Cathy Head
Donna Parsons
Cathy Mosley
Allen Riggs
Roberta Olson
Grace Bowman
Ted Lynch
Chad Albert
Robert Maynard
Roy Hebert
Lynn Page
Christopher Ratliff
Nicole Larson
Johnathan Campbell
Vernon Frazier
Leah Solis
Dylan Collins
Taylor Knowles
Derrick Cochran
Ron Brady
Mary Ryan
Tiffany Gonzalez
Misty Alexander
Carrie Ballard
Brandy David
Christoph Banks
Jeremy Allison
Ronnie Leon
Robert Rodriguez
Nicole Gay
Chad Cook
Marty Hall
Barb Shepherd
Tommy McCarthy
Melinda Little
Derek Walker
Kathryn Woodard
Earl Bird
Bonnie Lloyd
Chad Turner
Elizabeth Perez
Allison Wooten
Cory Wall
Pamela Vasquez
Lisa Barrett
Katie Arnold
Phyllis Allen
Stanley Hester
Mitchell McDaniel
Kay Ramsey
Alan Kemp
Carol Maynard
Eugene Baker
Lance Holden
Adam Fry
Caleb Whitfield
Autumn Osborne
Kristin Fitzpatrick
Jody Pollard
Melody Riggs
Sabrina Hammond
Joel Vaughn
Mary Daugherty
Ronnie Chase
Thelma York
Rocky Valenzuela
Greg Klein
Billy Lee
Summer Heath
Derrick Hensley
April Wilder
Darlene Durham
Cameron Wright
Randi Mann
Bethany Hendrix
Amber Cabrera
Christine Cervantes
Kelly Bean
Richard Hawkins
Bill Hernandez
Unborn Cole
Isaac Ewing
Denise Harmon
Christy Burt
Ernest Hale
Bob Davidson
Katherine Garrison
Marion Wolf
Ginger Serrano
Pat Cohen
Mary Clayton
Janet Monroe
Danny Cummings
Marion Swanson
Teresa Baldwin
Terry Cervantes
Ronda Stevenson
Charlene Gallegos
Kathy Hardin
Brett Hays
Marcus Bowman
Tiffany Shaffer
Gloria Good
Rita Maldonado
Clarence Collier
Tyrone Leonard
Christoph Norris
Logan Rosa
Dillon Haynes
Randall Valdez
Jackie Fischer
Jeff Galloway
Betty Bartlett
Colton Gilmore
Lance Miles
Bruce Slater
Tracy Dillon
Angel Bird
Sue Rhodes
Gary Gaines
Timothy Walton
Bryan Franks
Kayla Shields
Tristan Rowland
Travis Harrison
Albert Lawson
Evelyn Guthrie
Cheyenne Solis
Tracie Decker
Jeremiah Goodman
Dixie Ortega
Brady Combs
Gabriel Macdonald
Crystal Sutton
Lloyd Lyons
Kim Clark
Felicia Walton
Dallas Olson
Stacy Peck
Brenda Williams
Carl Crawford
Misty Pena
Bobbie Myers
Myron McKinney
Terri Ayers
Christy Smith
Grace Huffman
Mother Olsen
Bobby Frost
Allen Russell
Chelsea Griffin
Norma Rose
Sherry Castro
Paul Chase
Max Goodman
Madison Barrett
Susan Tyler
Myron Gill
Bethany Nieves
Dennis Solis
Sara Holden
Wanda Vinson
Lori Carver
Walter McKee
Tracie Shepard
Gage Jackson
Summer Chavez
Matthew Harrison
George Sullivan
Rachel Lawson
Vivian Madden
Vivian Phelps
Savannah Patterson
Vickie Nielsen
Helen Weber
Crystal Owens
Kay Glenn
Christian Kirkland
Nathan Elliott
Stephen Curry
Gage Clayton
Keith Burt
Janet Haynes
Rocky Middleton
Austin Warner
Ken Simmons
Shawna Parrish
Shawn Cline
Whitney Adams
James Emerson
Helen Benson
Vanessa Erickson
Kristy Flores
Dan Carey
Abby Walls
Tessa Zamora
Heidi Schneider
Diana Sykes
Matt Ball
Danny Wheeler
Deborah Conner
Larry Dennis
Melody Dunlap
Tristan Rivas
Amber Valentine
Gene Wade
Matt Doyle
Cameron Cantrell
William Buck
Holly Nixon
Aaron Obrien
Brooke Kline
Norman Mejia
Jerry Carlson
George Sullivan
Pamela Wilson
Mitchell Cantu
Wanda Hyde
Cassandra Hurst
Johnathan Macias
Brandon Bonner
Bethany Pugh
Marcus Blackwell
Jade Medina
Jennifer Woods
Jade Hayden
Jeffery Skinner
Tom Murphy
George Wade
Pete Blackburn
Dusty Dunlap
Arthur Vasquez
Kelly Martinez
Cassandra Bass
Andrea Lamb
Sherry Leach
Isaac Rutledge
Summer Downs
Shanna Sparks
Phyllis Bradley
Randi Leach
Jamie Rosario
Antonio Campos
Patricia Rowe
Sheila Aguirre
Kristina Hendricks
Stephen Huff
Marilyn Spence
Shanna David
Greg Fuller
Donald Haynes
Rocky Lamb
Caleb Galloway
Leonard Robbins
Kylie Padilla
Christina McFadden
Melanie Wolf
Rachael Pace
Kelsey Sherman
Craig Hill
Bob Ellison
Terri Schultz
Bethany Dorsey
Darrell Drake
Christian Galloway
Jasmine Spencer
Haley Banks
Rex Wong
Nancy Holmes
Glenn Owen
Michelle Odom
Joann David
Carla Christensen
Dallas Franklin
Betty Salazar
April Norris
Beth Green
Gina Maldonado
Christopher England
Rex Jacobs
Tim Larson
Sherri Gilbert
Maria Contreras
Tracie Butler
Melissa Perry
Ian Garcia
Nicholas Burns
Pamela Graves
Beverly Whitehead
Rick McClain
Dorothy Schmidt
Johnny Cortez
Terry Lamb
Dalton Burks
Veronica Sheppard
Nicholas Elliott
Alisha Mendez
Baby McPherson
Jane Hodges
Deanna Lyons
Brianna Lloyd
Susan Chang
Elaine Higgins
Terri Sanford
Katie Waters
Nina Reese
Joey Morton
Sharon Gutierrez
Isaac Gay
Christian Marks
Whitney Nunez
Misty Horn
Melissa Bolton
Toni McKee
Corey Holcomb
Sandy Wall
Patty Carter
Kayla Weber
Christopher Gonzalez
Curtis Hess
Jamie Lindsay
Earl Osborne
Amanda Simmons
Cindy Hughes
Jared Prince
Dixie Little
Olivia Le
Shelly Reyes
Alexis Norman
Austin Gonzales
Stanley Wolf
Wendy Fuentes
Christoph Robinson
Samuel Garrison
Andrea Phelps
Kelsey Bowen
Unborn Witt
Hannah Dotson
Laura Velasquez
Tasha Randall
Wyatt Gill
Unborn Wall
Drew Santos
Jasmine Molina
Joyce Carlson
Diana Lyons
Kristina McKinney
Chasity Herman
Lee Patel
Sheila Silva
Rick Avery
Patricia Simmons
William Gross
Theresa Rosario
Amanda Kirby
Stephen Hill
Lee Hubbard
Jasmine Matthews
Russell Frost
Greg Hensley
Monica Hatfield
Melanie Mills
Cindy Luna
Brooklyn Nunez
Jared Rojas
Leah Stuart
Mary Pennington
Adam Morales
Sandra Workman
Kayla Cobb
Roberta Fernandez
Candy Chan
Jacob Sosa
Russ Rodriquez
Tim Bartlett
Steve Morin
Nick Duran
Helen Newman
Crystal Lowe
Tim Perez
Rebecca McKnight
Bradley Buck
Walter Osborn
Sydney Kirby
Paige Cohen
Roy Ferrell
Francis Donaldson
Darlene Bender
Shaun Cantu
Kimberly Sykes
Clint Armstrong
John Banks
Brenda Sandoval
Cassandra Wilkerson
Jamie Haley
Nathan Greer
Bonnie McCall
Rita Rodriquez
Herbert Garza
Dalton Campbell
Brandy Obrien
Louis Luna
Mary ann Burch
Kay Trujillo
Shawn Pennington
Alan Nash
Gabriel Padilla
Max Noel
Tammy Hogan
Eddie Becker
Phillip Hunt
Myron Boyer
Rodney Schultz
Vanessa Scott
Marsha French
Bonnie Fernandez
Brent Mosley
John Hopkins
Russ Wheeler
Gregory Simpson
Regina McKnight
Rita Kirkland
Patrick Beck
Howard Mann
Jade McDaniel
Marilyn Waters
Sam Battle
Darlene Banks
Sharon Mathis
Jonathan Nixon
Sandra Williams
Anthony Benjamin
Cheyenne Vance
Ronnie Atkins
Vanessa Blake
Bryan Montgomery
Susan Lowe
Donald Page
Thelma Marks
Nathan Burgess
Mary Wright
Rod Roberts
Jonathan Barrera
Clayton Hoover
Kristy Schwartz
Sheila Riggs
Sandra Becker
Jacob McGowan
Sally Tyson
James Johnston
Jamie Montgomery
Mary ann Webb
Kevin Reilly
Amber Cobb
Virginia Stephenson
George Ruiz
Beth Hartman
Darlene Singleton
Holly Nichols
Mariah Osborn
Thelma Alexander
Baby Carrillo
Isaac Cote
Shanda Espinoza
Steven Shaw
Chase McFadden
Jeremiah Lott
Toni Gregory
Katherine Cohen
Walter Trujillo
Tommy Sloan
Cheyenne Schwartz
Sean Powell
Marcus Bates
Rusty Conway
Ricky Romero
Johnny Lawrence
Teresa Hoover
Drew Meyer
Heather May
Denise Robbins
Cassandra Fulton
Tim Stevenson
Wyatt Warner
Rocky Olsen
Tracey Cruz
Gabriel Kirkland
Benjamin Maxwell
Lindsey May
Mark McPherson
Gloria Mullins
Tracey Ellis
Ellen Weaver
Judy Kline
Tyler Benjamin
Kay Silva
Rebecca Huff
Jeannie Hernandez
Stacey Summers
Paul Salas
Marty Ferrell
Hope Gamble
Alan Camacho
Taylor Pace
Lee Bray
William Vance
Deanna Moran
Rodney Bradshaw
Tabitha Fulton
Lance Sanders
Lois Daniel
Cathy Randall
Jerry Alston
Deanna Allen
Kylie Marsh
Andrea Long
Mitchell Valentine
Jean Vang
Trey Owens
Ann Long
Ed Stewart
Valerie McGowan
David Hebert
Brianna Goodwin
Nathan Stokes
Wyatt Carter
Alicia Vargas
Tabitha Silva
Mitchell Dejesus
Everett Hanson
Mark Gomez
Taylor Calhoun
Jan Adkins
Corey Stuart
Lisa Wiley
Sandra Daugherty
Carrie Silva
Erica Jefferson
Sally Evans
Karen Richards
Nancy Dillard
Dorothy Bradshaw
Matt Reilly
Nicholas West
Deborah Pierce
Skyler Cannon
Stephanie Huber
Lynn Higgins
David Hayes
Heidi Logan
Tyrone Hodges
Paul Burns
Samuel Chapman
Stanley Sanchez
Holly Sharp
Derrick McDowell
Robbie Wilder
Summer Todd
Roy Ford
Kelsey Burch
Elaine King
Abby Duncan
Destiny Cote
Jean Wilkins
Dixie Faulkner
Tina Hart
Shelly Shaffer
Stanley Fitzgerald
Leroy Glass
Randy Jackson
Katelyn Finch
Edward Harrison
Rochelle Lamb
Roy Holt
Mary ann Gordon
Mike Mayo
Tracey Carver
Shanna Davis
Lindsey Moore
Jody Maxwell
Tashia Austin
Brianna Shields
Courtney Ward
Ronald Hudson
Kris Collins
Tabitha Herman
Marilyn Roberson
Robbie Pittman
Ronda Haney
Cameron Hayes
Dominic Thornton
Katherine Leach
Abigail Mercado
Trent York
Jeremy Baldwin
Shannon Scott
Joanne Vance
Vernon May
Edward Conrad
Anita Kinney
Victor Robles
Father Richmond
Dawn Kennedy
Scott Gillespie
Evelyn Pacheco
Norma Schneider
Clint Spence
Isaac Todd
Taylor Trujillo
Ann Acosta
Dusty Savage
Janet Rowe
Rochelle Coleman
Keith Nixon
Cody Calhoun
Bryan Higgins
Leslie Knight
Glen Gutierrez
Travis Reyes
Vicki Aguilar
Laken Spence
Nick McGee
Susan Clayton
Brandy Hoffman
Misty Harrington
Kelsey Bridges
Kylie Dotson
Beverly Boyer
Colton Garrett
Vickie Jefferson
Jordan Knapp
James York
Alan Dawson
Alexandra Lynch
Ernest Diaz
Austin Hull
Josh Farrell
Sheila Campbell
Tonya Moody
Charlie Carpenter
Valerie Bradley
Brent Tate
Chelsea Gamble
Devin Cunningham
Kristina English
Joel Vance
Heath Bean
Katrina Montoya
Dennis Logan
Jody Lee
Lee Sanchez
Dusty Kane
Dana Sellers
Angie Sharpe
Gage Bauer
Patty Robbins
Jonathan Browning
Theresa Bell
Stanley Knapp
Alice Sanders
Billie Nielsen
Don Pruitt
Michelle Ramirez
Tracie Vaughn
Holly Mann
Veronica Spence
